,Linear Regression,Ridge Regression,LASSO Regression,Quadratic Regression,Random Forest Regression,Gradient Boosting Regression
"Fulton St (A,C,J,Z,2,3,4,5)",0.6506854664200414,0.6509536220481403,0.6504649024952038,0.7793573450647766,0.6910120492688555,0.7140468603823525
Fulton St (G),0.586500715065803,0.5863099552530471,0.552000119616262,0.6632332062075932,0.5667857019998754,0.5881471907030698
"Gates Av (J,Z)",0.6261406145999093,0.6263788172712312,0.5939615354027643,0.7608799990188616,0.6923753690856898,0.6729473907626958
Graham Av (L),0.570805305719942,0.571037210247404,0.5526648068274351,0.7530894253721184,0.6794078730472589,0.6525979438273987
"Grand Army Plaza (2,3)",0.5960253712552448,0.5960283455343302,0.5728228089985272,0.7555800738726537,0.6740229600973093,0.662577840398066
"Grand Av-Newtown (M,R)",0.6669937018469616,0.667136806805728,0.6627508488607374,0.8135640722188766,0.7522280911080381,0.7548276090469284
"Grand Central-42 St (S,4,5,6,7)",0.6095042614778814,0.6098380171761093,0.60967900307424,0.7472062928929092,0.6526304791787563,0.6797476741474433
"Grand St (B,D)",0.7099719657291191,0.7099647811738479,0.7043032975684524,0.7619783958850278,0.6759225124142736,0.6924195634633754
Grand St (L),0.6286191142874995,0.6285406810472591,0.589667616369755,0.7439760543509286,0.6553950737184101,0.6524717210133869
Grant Av (A),0.6606024973924893,0.6608016376656872,0.6318741754314292,0.8017665474932139,0.7336019304699922,0.7509291716464415
Greenpoint Av (G),0.5825665686086727,0.5823647123462544,0.5638415802543373,0.7076797246500686,0.5951491073606228,0.6142387302965602
"Gun Hill Rd (2,5)",0.6502682420768484,0.6503890525006397,0.5985265640227216,0.7521448616638196,0.6721942464187209,0.6869129924012753
Gun Hill Rd (5),0.6779364738455483,0.6777705448021358,0.6447177772257578,0.8475127472869669,0.7955601410391613,0.8016059634090712
Halsey St (J),0.6435228360811887,0.6433895040725482,0.5974386114916689,0.76873083949237,0.7235415210762186,0.6908905148833855
Halsey St (L),0.5923838005449246,0.5924692465342656,0.5670133581948997,0.7403462202806568,0.700998291632116,0.6672879128988087
Harlem-148 St (3),0.6308713436018715,0.6308978441712476,0.5682240574943291,0.7790636693404973,0.7086758296477221,0.7163071364777625
"Hewes St (J,M)",0.5818167595059471,0.5815089966273487,0.4464837988710807,0.6936565717567841,0.5882635016457574,0.5968908624349487
"High St (A,C)",0.6337568947432934,0.6336375462476234,0.6110208408497619,0.736948216037955,0.6533256673288697,0.6476792512185406
Houston St (1),0.6393759429258477,0.6392839694916713,0.6313087240260056,0.7845441211323059,0.6847507832206278,0.716913911186695
Howard Beach-JFK Airport (A),0.5519327533796878,0.5517855807176173,0.4077637966429425,0.6472734140061065,0.5892259109582194,0.5835527417841948
